"kd_jenis_prw";"nm_perawatan";"kd_kategori";"material";"bhp";"tarif_tindakandr";"tarif_tindakanpr";"kso";"menejemen";"total_byrdr";"total_byrpr";"total_byrdrpr";"kd_pj";"kd_poli";"status"
"A001";"Pendaftaran Pasien Baru";"-";"10000";"0";"0";"0";"0";"0";"10000";"10000";"0";"A09";"U0009";"1"
"C001";"Aff/Angkat Implan Dengan Penyulit Oleh Dokter Spesialis";"-";"100000";"0";"325000";"0";"0";"0";"425000";"0";"0";"A09";"U0009";"1"
"C002";"Aff/Angkat Implan Dengan Penyulit Oleh Dokter Umum";"-";"75000";"0";"150000";"0";"0";"0";"225000";"0";"0";"A09";"U0009";"1"
"C003";"Aff/Angkat Implan Tanpa penyulit Oleh Dokter Spesialis";"-";"75000";"0";"200000";"0";"0";"0";"275000";"0";"0";"A09";"U0009";"1"
"C003FRE";"Aff/Angkat Implan Tanpa penyulit Oleh Dokter Spesialis (Free)";"-";"75000";"0";"0";"0";"0";"0";"75000";"0";"0";"A09";"U0009";"1"
"C004";"Aff/Angkat Implan Tanpa penyulit Oleh Dokter Umum";"-";"75000";"0";"125000";"0";"0";"0";"200000";"0";"0";"A09";"U0009";"1"
"C005";"Aff/Angkat IUD Dengan Penyulit Oleh Dokter Spesialis";"-";"50000";"0";"250000";"0";"0";"0";"300000";"0";"0";"A09";"U0009";"1"
"C006";"Aff/Angkat IUD Tanpa penyulit Oleh Dokter Spesialis";"-";"50000";"0";"200000";"0";"0";"0";"250000";"0";"0";"A09";"U0009";"1"
"C009";"Aff/Angkat Kanul Epidural Oleh Dokter Spesialis";"-";"20000";"0";"50000";"0";"0";"0";"70000";"0";"0";"A09";"U0009";"1"
"C010";"Aff/Angkat Kanul Epidural Oleh Dokter Umum";"-";"20000";"0";"15000";"0";"0";"0";"45000";"0";"0";"A38";"U0009";"1"
"C011";"Aff/Angkat Kanul Epidural Oleh Perawat";"-";"20000";"0";"0";"15000";"0";"0";"0";"35000";"0";"A38";"U0009";"1"
"C012";"Aff/Angkat Tampon Dgn Penyulit Oleh Bidan";"-";"15000";"0";"0";"20000";"0";"0";"0";"35000";"0";"A38";"U0009";"1"
"C013";"Aff/Angkat Tampon Dgn Penyulit Oleh Dokter Spesialis";"KP1";"15000";"0";"50000";"0";"0";"0";"65000";"0";"0";"A32";"BDS";"1"
"C014";"Aff/Angkat Tampon Dgn Penyulit Oleh Dokter Umum";"-";"15000";"0";"25000";"0";"0";"0";"40000";"0";"0";"A38";"U0009";"1"
"C015";"Aff/Angkat Tampon Dgn Penyulit Oleh Perawat";"-";"15000";"0";"0";"20000";"0";"0";"0";"35000";"0";"A38";"U0009";"1"
"C016";"Aff/Angkat Tampon Tanpa Penyulit Oleh Bidan";"-";"15000";"0";"0";"15000";"0";"0";"0";"30000";"0";"A38";"U0009";"1"
"C017";"Aff/Angkat Tampon Tanpa Penyulit Oleh Dokter Spesialis";"-";"15000";"0";"40000";"0";"0";"0";"55000";"0";"0";"A38";"U0009";"1"
"C018";"Aff/Angkat Tampon Tanpa Penyulit Oleh Dokter Umum";"-";"15000";"0";"17500";"0";"0";"0";"32500";"0";"0";"A38";"U0009";"1"
"C019";"Aff/Angkat Tampon Tanpa Penyulit Oleh Perawat";"-";"15000";"0";"0";"15000";"0";"0";"0";"30000";"0";"A38";"U0009";"1"
"C020";"Aff/Lepas Drain Oleh Dokter Spesialis";"-";"7500";"0";"50000";"0";"0";"0";"57500";"0";"0";"A38";"U0009";"1"
"C021";"Aff/Lepas Drain Oleh Dokter Umum";"-";"7500";"0";"20000";"0";"0";"0";"27500";"0";"0";"A38";"U0009";"1"
"C022";"Aff/Lepas Drain Oleh Perawat";"-";"7500";"0";"0";"10000";"0";"0";"0";"17500";"0";"A38";"U0009";"1"
"C023";"Aff/Lepas Gips (Satu Lokasi) Dengan Penyulit Oleh Dokter Spesialis";"-";"75000";"0";"200000";"0";"0";"0";"275000";"0";"0";"A38";"U0009";"1"
"C024";"Aff/Lepas Gips (Satu Lokasi) Dengan Penyulit Oleh Dokter Umum";"-";"75000";"0";"50000";"0";"0";"0";"125000";"0";"0";"A38";"U0009";"1"
"C025";"Aff/Lepas Gips (Satu Lokasi) Dengan Penyulit Oleh Perawat";"-";"75000";"0";"0";"30000";"0";"0";"0";"105000";"0";"A38";"U0009";"1"
"C026";"Aff/Lepas Gips (Satu Lokasi) Tanpa penyulit Oleh Dokter Spesialis";"-";"75000";"0";"150000";"0";"0";"0";"225000";"0";"0";"A38";"U0009";"1"
"C027";"Aff/Lepas Gips (Satu Lokasi) Tanpa penyulit Oleh Dokter Umum";"-";"75000";"0";"25000";"0";"0";"0";"100000";"0";"0";"A38";"U0009";"1"
"C028";"Aff/Lepas Gips (Satu Lokasi) Tanpa penyulit Oleh Perawat";"-";"75000";"0";"0";"20000";"0";"0";"0";"95000";"0";"A38";"U0009";"1"
"C029";"Aff/Lepas Infus Oleh Bidan";"-";"20000";"0";"0";"10000";"0";"0";"0";"30000";"0";"A38";"U0009";"1"
"C030";"Aff/Lepas Infus Oleh Perawat";"-";"20000";"0";"0";"10000";"0";"0";"0";"30000";"0";"A38";"U0009";"1"
"C031";"Alergi Test (Patch Test) Oleh Dokter Spesialis";"-";"50000";"0";"120000";"0";"0";"0";"170000";"0";"0";"A38";"U0009";"1"
"C032";"Amputasi di IGD (satu lokasi) Dengan Penyulit Oleh Dokter Spesialis";"-";"50000";"0";"350000";"0";"0";"0";"400000";"0";"0";"A38";"U0009";"1"
"C033";"Amputasi di IGD (satu lokasi) Dengan Penyulit Oleh Dokter Umum";"-";"50000";"0";"150000";"0";"0";"0";"200000";"0";"0";"A38";"U0009";"1"
"C034";"Amputasi di IGD (satu lokasi) Dengan Penyulit Oleh Perawat";"-";"50000";"0";"0";"100000";"0";"0";"0";"150000";"0";"A38";"U0009";"1"
"C035";"Amputasi di IGD (satu lokasi) Tanpa penyulit Oleh Dokter Spesialis";"-";"50000";"0";"300000";"0";"0";"0";"350000";"0";"0";"A38";"U0009";"1"
"C036";"Amputasi di IGD (satu lokasi) Tanpa penyulit Oleh Dokter Umum";"-";"50000";"0";"75000";"0";"0";"0";"125000";"0";"0";"A38";"U0009";"1"
"C037";"Amputasi di IGD (satu lokasi) Tanpa penyulit Oleh Perawat";"-";"50000";"0";"0";"50000";"0";"0";"0";"100000";"0";"A38";"U0009";"1"
"C038";"Aspirasi Bula Dengan Penyulit Oleh Dokter Spesialis";"-";"20000";"0";"100000";"0";"0";"0";"120000";"0";"0";"A38";"U0009";"1"
"C039";"Aspirasi Bula Dengan Penyulit Oleh Dokter Umum";"-";"20000";"0";"50000";"0";"0";"0";"70000";"0";"0";"A38";"U0009";"1"
"C040";"Aspirasi Bula Dengan Penyulit Oleh Perawat";"-";"20000";"0";"0";"25000";"0";"0";"0";"45000";"0";"A38";"U0009";"1"
"C041";"Aspirasi Bula Tanpa penyulit Oleh Dokter Spesialis";"-";"20000";"0";"50000";"0";"0";"0";"70000";"0";"0";"A38";"U0009";"1"
"C042";"Aspirasi Bula Tanpa penyulit Oleh Dokter Umum";"-";"20000";"0";"15000";"0";"0";"0";"35000";"0";"0";"A38";"U0009";"1"
"C043";"Aspirasi Bula Tanpa penyulit Oleh Perawat";"-";"20000";"0";"0";"7500";"0";"0";"0";"27500";"0";"A38";"U0009";"1"
"C044";"Aspirasi Jarum Halus (AJH)/Fine Neddle Aspiration Biopsy (FNAB) Oleh Dokter Spes";"-";"30000";"0";"175000";"0";"0";"0";"205000";"0";"0";"A38";"U0009";"1"
"C045";"Asuhan Kebidanan BBL Asphyxia Kelas I Oleh Bidan";"-";"50000";"0";"0";"65000";"0";"0";"0";"115000";"0";"A38";"U0009";"1"
"C046";"Asuhan Kebidanan BBL Asphyxia Kelas II Oleh Bidan";"-";"50000";"0";"0";"50000";"0";"0";"0";"100000";"0";"A38";"U0009";"1"
"C047";"Asuhan Kebidanan BBL Asphyxia Kelas III Oleh Bidan";"-";"50000";"0";"0";"45000";"0";"0";"0";"95000";"0";"A38";"U0009";"1"
"C048";"Asuhan Kebidanan BBL Asphyxia Kelas VIP Oleh Bidan";"-";"50000";"0";"0";"75000";"0";"0";"0";"125000";"0";"A38";"U0009";"1"
"C049";"Asuhan Kebidanan BBL Normal Kelas I Oleh Bidan";"-";"40000";"0";"0";"45000";"0";"0";"0";"85000";"0";"A38";"U0009";"1"
"C050";"Asuhan Kebidanan BBL Normal Kelas II Oleh Bidan";"-";"40000";"0";"0";"35000";"0";"0";"0";"75000";"0";"A38";"U0009";"1"
"C051";"Asuhan Kebidanan BBL Normal Kelas III Oleh Bidan";"-";"40000";"0";"0";"30000";"0";"0";"0";"70000";"0";"A38";"U0009";"1"
"C052";"Asuhan Kebidanan BBL Normal Kelas VIP Oleh Bidan";"-";"40000";"0";"0";"50000";"0";"0";"0";"90000";"0";"A38";"U0009";"1"
"C053";"Baby Bath and Message/Memandikan dan Memijat Bayi Kelas I Oleh Bidan";"-";"30000";"0";"0";"40000";"0";"0";"0";"70000";"0";"A38";"U0009";"1"
"C054";"Baby Bath and Message/Memandikan dan Memijat Bayi Kelas I Oleh Perawat";"-";"30000";"0";"0";"40000";"0";"0";"0";"70000";"0";"A38";"U0009";"1"
"C055";"Baby Bath and Message/Memandikan dan Memijat Bayi Kelas II Oleh Bidan";"-";"30000";"0";"0";"35000";"0";"0";"0";"65000";"0";"A38";"U0009";"1"
"C056";"Baby Bath and Message/Memandikan dan Memijat Bayi Kelas II Oleh Perawat";"-";"30000";"0";"0";"35000";"0";"0";"0";"65000";"0";"A38";"U0009";"1"
"C057";"Baby Bath and Message/Memandikan dan Memijat Bayi Kelas III Oleh Bidan";"-";"30000";"0";"0";"30000";"0";"0";"0";"60000";"0";"A38";"U0009";"1"
"C058";"Baby Bath and Message/Memandikan dan Memijat Bayi Kelas III Oleh Perawat";"-";"30000";"0";"0";"30000";"0";"0";"0";"60000";"0";"A38";"U0009";"1"
"C059";"Baby Bath and Message/Memandikan dan Memijat Bayi Kelas VIP Oleh Bidan";"-";"30000";"0";"0";"45000";"0";"0";"0";"75000";"0";"A38";"U0009";"1"
"C060";"Baby Bath and Message/Memandikan dan Memijat Bayi Kelas VIP Oleh Perawat";"-";"30000";"0";"0";"45000";"0";"0";"0";"75000";"0";"A38";"U0009";"1"
"C063";"Bedah Minor Eksisi Dengan Penyulit Dengan Anestesi Lokal Oleh Dokter Spesialis.";"-";"55000";"0";"325000";"0";"0";"0";"380000";"0";"0";"A38";"U0009";"1"
