"kd_poli";"nm_poli";"registrasi";"registrasilama";"status"
"1.";"INT";"0";"0";"0"
"ANA";"ANA Poli Anak tr";"0";"0";"0"
"BDS";"BEDAH SARAF";"0";"0";"0"
"BSY";"Bedah Syaraf";"0";"0";"0"
"IGDK";"IGD";"10000";"10000";"1"
"INT";"INT Poli Penyakit Dalam";"0";"0";"1"
"OBG";"OBG Poli Obstetri/Gyn.";"0";"0";"1"
"U0001";"Poliklinik Kandungan";"10000";"10000";"1"
"U0002";"Poliklinik Anak";"10000";"10000";"1"
"U0003";"Poliklinik Penyakit Dalam";"10000";"10000";"1"
"U0004";"Poliklinik Bedah";"10000";"10000";"1"
"U0005";"Poliklinik Mata";"10000";"10000";"1"
"U0006";"Poliklinik Kulit & Kelamin";"10000";"10000";"1"
"U0007";"Poliklinik Syaraf / Neurologi";"10000";"10000";"1"
"U0008";"Poliklinik Radiologi";"10000";"10000";"1"
"U0009";"Poliklinik Umum";"10000";"10000";"1"
"U0010";"Poliklinik Gigi & Mulut";"10000";"10000";"1"
"U0011";"Poliklinik THT";"10000";"10000";"1"
"U0012";"Poliklinik Jantung";"10000";"10000";"1"
"U0016";"ORTHOPEDI";"10000";"10000";"1"
"U0026";"Unit Laborat";"0";"0";"1"
"U0027";"MCU";"0";"0";"1"
"U0044";"Poli Syaraf";"0";"0";"1"
"U0052";"POLI GINJAL";"0";"0";"1"
"U0053";"fisioterapi";"0";"0";"1"
"UMU";"UMUM";"0";"0";"1"
